site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P357 08JUN11 2008.4435 54628 1483 4 -113.6   1446  0.739220   4899057  0.047987  2295  0.336927  0.0083 0.000472 0.000644 0.001859  0.045610 -0.046087 -0.166150
P357 08JUN12 2008.4463 54629 1483 5 -113.6   1446  0.738059   4899057  0.048922  2295  0.335181  0.0083 0.000474 0.000644 0.001829  0.031200 -0.038966 -0.123966
P357 08JUN13 2008.4490 54630 1483 6 -113.6   1446  0.738941   4899057  0.045987  2295  0.341408  0.0083 0.000476 0.000643 0.001853  0.049235 -0.036788 -0.158912
P357 08JUN14 2008.4517 54631 1483 7 -113.6   1446  0.742472   4899057  0.048672  2295  0.343668  0.0083 0.000481 0.000656 0.001880  0.049185 -0.043674 -0.154460
P357 08JUN15 2008.4545 54632 1484 1 -113.6   1446  0.739045   4899057  0.047996  2295  0.338596  0.0083 0.000477 0.000657 0.001858  0.067675 -0.047303 -0.142168
P357 08JUN16 2008.4572 54633 1484 2 -113.6   1446  0.740085   4899057  0.048120  2295  0.335498  0.0083 0.000472 0.000642 0.001825  0.046877 -0.077843 -0.160869
P357 08JUN17 2008.4600 54634 1484 3 -113.6   1446  0.737258   4899057  0.045007  2295  0.343387  0.0083 0.000469 0.000637 0.001802  0.057746 -0.069946 -0.142538
P357 08JUN18 2008.4627 54635 1484 4 -113.6   1446  0.737638   4899057  0.046783  2295  0.339695  0.0083 0.000472 0.000642 0.001823  0.058952 -0.061451 -0.158979
P357 08JUN19 2008.4654 54636 1484 5 -113.6   1446  0.739028   4899057  0.045590  2295  0.338452  0.0083 0.000467 0.000634 0.001788  0.036577 -0.065544 -0.134551
P357 08JUN20 2008.4682 54637 1484 6 -113.6   1446  0.738649   4899057  0.046543  2295  0.337666  0.0083 0.000467 0.000632 0.001796  0.040402 -0.069332 -0.133615
P357 08JUN21 2008.4709 54638 1484 7 -113.6   1446  0.738930   4899057  0.045749  2295  0.339057  0.0083 0.000465 0.000635 0.001779  0.036349 -0.045985 -0.125648
P357 08JUN22 2008.4736 54639 1485 1 -113.6   1446  0.741420   4899057  0.045488  2295  0.338170  0.0083 0.000473 0.000646 0.001841  0.062092 -0.091977 -0.169015
P357 08JUN23 2008.4764 54640 1485 2 -113.6   1446  0.738809   4899057  0.045517  2295  0.342134  0.0083 0.000461 0.000637 0.001772  0.029488 -0.048193 -0.142286
P357 08JUN24 2008.4791 54641 1485 3 -113.6   1446  0.737628   4899057  0.042634  2295  0.346211  0.0083 0.000469 0.000640 0.001806  0.043784 -0.041520 -0.144410
P357 08JUN25 2008.4819 54642 1485 4 -113.6   1446  0.738075   4899057  0.045539  2295  0.340182  0.0083 0.000461 0.000631 0.001774  0.040252 -0.042965 -0.139705
P357 08JUN26 2008.4846 54643 1485 5 -113.6   1446  0.736200   4899057  0.045870  2295  0.348032  0.0083 0.000472 0.000640 0.001809  0.026236 -0.041852 -0.129163
P357 08JUN27 2008.4873 54644 1485 6 -113.6   1446  0.736012   4899057  0.045985  2295  0.339416  0.0083 0.000460 0.000636 0.001763  0.044634 -0.048763 -0.137508
P357 08JUN28 2008.4901 54645 1485 7 -113.6   1446  0.737455   4899057  0.046500  2295  0.336887  0.0083 0.000466 0.000635 0.001777  0.046583 -0.061067 -0.143933
P357 08JUN29 2008.4928 54646 1486 1 -113.6   1446  0.738229   4899057  0.047507  2295  0.342182  0.0083 0.000466 0.000642 0.001803  0.037228 -0.048588 -0.131176
P357 08JUN30 2008.4956 54647 1486 2 -113.6   1446  0.737524   4899057  0.047084  2295  0.343617  0.0083 0.000464 0.000639 0.001784  0.034690 -0.052050 -0.136093
P357 08JUL01 2008.4983 54648 1486 3 -113.6   1446  0.738535   4899057  0.047440  2295  0.340651  0.0083 0.000460 0.000632 0.001762  0.043560 -0.043795 -0.143158
P357 08JUL02 2008.5010 54649 1486 4 -113.6   1446  0.737950   4899057  0.045254  2295  0.336241  0.0083 0.000465 0.000639 0.001783  0.050750 -0.066793 -0.136652
P357 08JUL03 2008.5038 54650 1486 5 -113.6   1446  0.737735   4899057  0.044155  2295  0.336876  0.0083 0.000464 0.000638 0.001775  0.046509 -0.053731 -0.142343
P357 08JUL04 2008.5065 54651 1486 6 -113.6   1446  0.738472   4899057  0.044667  2295  0.339341  0.0083 0.000469 0.000641 0.001810  0.042848 -0.047126 -0.158472
P357 08JUL05 2008.5092 54652 1486 7 -113.6   1446  0.736622   4899057  0.044114  2295  0.349300  0.0083 0.000468 0.000642 0.001805  0.050920 -0.063103 -0.148100
P357 08JUL06 2008.5120 54653 1487 1 -113.6   1446  0.739106   4899057  0.044420  2295  0.339434  0.0083 0.000464 0.000632 0.001770  0.034630 -0.036575 -0.140842
P357 08JUL07 2008.5147 54654 1487 2 -113.6   1446  0.736117   4899057  0.046163  2295  0.333499  0.0083 0.000463 0.000637 0.001768  0.042782 -0.043334 -0.121133
P357 08JUL08 2008.5175 54655 1487 3 -113.6   1446  0.736052   4899057  0.043210  2295  0.338513  0.0083 0.000468 0.000646 0.001796  0.038391 -0.051782 -0.140277
P357 08JUL09 2008.5202 54656 1487 4 -113.6   1446  0.737259   4899057  0.044476  2295  0.335491  0.0083 0.000465 0.000642 0.001774  0.048076 -0.051983 -0.126176
P357 08JUL10 2008.5229 54657 1487 5 -113.6   1446  0.739798   4899057  0.043194  2295  0.338378  0.0083 0.000481 0.000666 0.001866  0.051576 -0.026304 -0.160439
P357 08JUL11 2008.5257 54658 1487 6 -113.6   1446  0.737648   4899057  0.047081  2295  0.339389  0.0083 0.000480 0.000663 0.001853  0.029320 -0.037755 -0.150289
P357 08JUL12 2008.5284 54659 1487 7 -113.6   1446  0.737174   4899057  0.044548  2295  0.338348  0.0083 0.000464 0.000643 0.001778  0.045852 -0.048980 -0.135038
P357 08JUL13 2008.5311 54660 1488 1 -113.6   1446  0.735608   4899057  0.044211  2295  0.340530  0.0083 0.000461 0.000638 0.001770  0.045549 -0.056778 -0.127912
P357 08JUL14 2008.5339 54661 1488 2 -113.6   1446  0.735619   4899057  0.046682  2295  0.342045  0.0083 0.000466 0.000639 0.001780  0.046353 -0.050341 -0.151653
P357 08JUL15 2008.5366 54662 1488 3 -113.6   1446  0.735717   4899057  0.044321  2295  0.342795  0.0083 0.000465 0.000637 0.001786  0.053961 -0.033020 -0.140040
P357 08JUL16 2008.5394 54663 1488 4 -113.6   1446  0.736696   4899057  0.043092  2295  0.342005  0.0083 0.000464 0.000635 0.001781  0.024433 -0.024118 -0.140232
P357 08JUL17 2008.5421 54664 1488 5 -113.6   1446  0.735697   4899057  0.045154  2295  0.344434  0.0083 0.000464 0.000636 0.001773  0.040351 -0.040637 -0.139111
P357 08JUL18 2008.5448 54665 1488 6 -113.6   1446  0.735568   4899057  0.045971  2295  0.344242  0.0083 0.000469 0.000658 0.001825  0.035967 -0.038390 -0.122363
P357 08JUL19 2008.5476 54666 1488 7 -113.6   1446  0.735790   4899057  0.047198  2295  0.341477  0.0083 0.000472 0.000654 0.001840  0.037527 -0.070522 -0.148868
P357 08JUL20 2008.5503 54667 1489 1 -113.6   1446  0.736184   4899057  0.044711  2295  0.343244  0.0083 0.000467 0.000646 0.001809  0.068378 -0.062373 -0.154364
P357 08JUL21 2008.5530 54668 1489 2 -113.6   1446  0.734214   4899057  0.047072  2295  0.348164  0.0083 0.000470 0.000641 0.001800  0.053002 -0.058941 -0.141708
P357 08JUL22 2008.5558 54669 1489 3 -113.6   1446  0.736705   4899057  0.048258  2295  0.331782  0.0083 0.000469 0.000639 0.001813  0.076549 -0.063070 -0.160208
P357 08JUL23 2008.5585 54670 1489 4 -113.6   1446  0.735287   4899057  0.046201  2295  0.342139  0.0083 0.000472 0.000653 0.001837  0.040389 -0.062914 -0.153486
P357 08JUL24 2008.5613 54671 1489 5 -113.6   1446  0.735458   4899057  0.047058  2295  0.347927  0.0083 0.000467 0.000641 0.001799  0.037917 -0.074649 -0.121284
P357 08JUL25 2008.5640 54672 1489 6 -113.6   1446  0.734102   4899057  0.043110  2295  0.342735  0.0083 0.000471 0.000641 0.001825  0.058947 -0.073139 -0.175563
P357 08JUL26 2008.5667 54673 1489 7 -113.6   1446  0.735873   4899057  0.042545  2295  0.330710  0.0083 0.000462 0.000635 0.001784  0.052715 -0.038194 -0.155659
P357 08JUL27 2008.5695 54674 1490 1 -113.6   1446  0.732787   4899057  0.043412  2295  0.350711  0.0083 0.000471 0.000638 0.001818  0.070052 -0.086509 -0.142558
P357 08JUL28 2008.5722 54675 1490 2 -113.6   1446  0.735277   4899057  0.046031  2295  0.341552  0.0083 0.000472 0.000661 0.001856  0.066919 -0.052951 -0.167029
P357 08JUL29 2008.5749 54676 1490 3 -113.6   1446  0.736581   4899057  0.046439  2295  0.345628  0.0083 0.000476 0.000654 0.001860  0.075538 -0.078091 -0.139862
P357 08JUL30 2008.5777 54677 1490 4 -113.6   1446  0.742728   4899057  0.047086  2295  0.341904  0.0083 0.000477 0.000658 0.001859  0.079780 -0.065460 -0.156452
P357 08JUL31 2008.5804 54678 1490 5 -113.6   1446  0.736071   4899057  0.046268  2295  0.350533  0.0083 0.000465 0.000636 0.001781  0.057289 -0.059856 -0.146658
P357 08AUG01 2008.5832 54679 1490 6 -113.6   1446  0.733382   4899057  0.041490  2295  0.346740  0.0083 0.000466 0.000642 0.001815  0.058794 -0.060505 -0.143649
P357 08AUG02 2008.5859 54680 1490 7 -113.6   1446  0.731530   4899057  0.045348  2295  0.342924  0.0083 0.000466 0.000637 0.001808  0.051754 -0.063820 -0.154942
P357 08AUG03 2008.5886 54681 1491 1 -113.6   1446  0.734522   4899057  0.041776  2295  0.350481  0.0083 0.000479 0.000650 0.001871  0.043799 -0.073164 -0.134681
P357 08AUG04 2008.5914 54682 1491 2 -113.6   1446  0.733972   4899057  0.044413  2295  0.351407  0.0083 0.000471 0.000641 0.001825  0.058410 -0.075319 -0.161552
P357 08AUG05 2008.5941 54683 1491 3 -113.6   1446  0.736346   4899057  0.046101  2295  0.344996  0.0083 0.000464 0.000639 0.001799  0.046624 -0.034040 -0.153215
P357 08AUG06 2008.5969 54684 1491 4 -113.6   1446  0.734766   4899057  0.044619  2295  0.348857  0.0083 0.000470 0.000654 0.001844  0.056372 -0.044193 -0.159550
P357 08AUG07 2008.5996 54685 1491 5 -113.6   1446  0.734827   4899057  0.047090  2295  0.344366  0.0083 0.000488 0.000661 0.001887  0.069256 -0.062174 -0.114577
P357 08AUG08 2008.6023 54686 1491 6 -113.6   1446  0.734006   4899057  0.045171  2295  0.345914  0.0083 0.000486 0.000659 0.001875  0.044745 -0.061888 -0.106375
P357 08AUG09 2008.6051 54687 1491 7 -113.6   1446  0.735890   4899057  0.044861  2295  0.336535  0.0083 0.000474 0.000656 0.001854  0.066259 -0.056826 -0.177311
P357 08AUG10 2008.6078 54688 1492 1 -113.6   1446  0.732886   4899057  0.045309  2295  0.346507  0.0083 0.000478 0.000663 0.001881  0.044635 -0.063071 -0.168511
P357 08AUG11 2008.6105 54689 1492 2 -113.6   1446  0.735777   4899057  0.044199  2295  0.339768  0.0083 0.000478 0.000663 0.001893  0.068691 -0.082759 -0.168812
P357 08AUG12 2008.6133 54690 1492 3 -113.6   1446  0.734381   4899057  0.043575  2295  0.340418  0.0083 0.000474 0.000663 0.001859  0.053758 -0.043101 -0.140788
P357 08AUG13 2008.6160 54691 1492 4 -113.6   1446  0.734841   4899057  0.045086  2295  0.347566  0.0083 0.000471 0.000652 0.001830  0.045274 -0.053018 -0.146371
P357 08AUG14 2008.6188 54692 1492 5 -113.6   1446  0.734104   4899057  0.043962  2295  0.343803  0.0083 0.000476 0.000656 0.001855  0.066397 -0.069159 -0.169598
P357 08AUG15 2008.6215 54693 1492 6 -113.6   1446  0.734188   4899057  0.046071  2295  0.340570  0.0083 0.000475 0.000655 0.001842  0.047832 -0.036928 -0.157316
P357 08AUG16 2008.6242 54694 1492 7 -113.6   1446  0.734085   4899057  0.045883  2295  0.346011  0.0083 0.000474 0.000656 0.001847  0.058219 -0.041256 -0.158309
P357 08AUG17 2008.6270 54695 1493 1 -113.6   1446  0.735562   4899057  0.042467  2295  0.347288  0.0083 0.000472 0.000659 0.001837  0.066794 -0.045527 -0.138407
P357 08AUG18 2008.6297 54696 1493 2 -113.6   1446  0.735949   4899057  0.044918  2295  0.348557  0.0083 0.000481 0.000656 0.001876  0.065341 -0.089088 -0.145789
P357 08AUG19 2008.6324 54697 1493 3 -113.6   1446  0.731916   4899057  0.041589  2295  0.343706  0.0083 0.000477 0.000661 0.001865  0.069848 -0.054085 -0.159943
P357 08AUG20 2008.6352 54698 1493 4 -113.6   1446  0.735078   4899057  0.041949  2295  0.358208  0.0083 0.000476 0.000663 0.001875  0.052660 -0.063928 -0.179050
P357 08AUG21 2008.6379 54699 1493 5 -113.6   1446  0.735973   4899057  0.048841  2295  0.345136  0.0083 0.000475 0.000660 0.001859  0.054822 -0.049184 -0.163623
P357 08AUG22 2008.6407 54700 1493 6 -113.6   1446  0.732379   4899057  0.044664  2295  0.345247  0.0083 0.000473 0.000659 0.001849  0.059595 -0.056529 -0.156523
