site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P361 07JUL31 2007.5784 54312 1438 3 -111.4  -3153 -0.075298   4936086  0.965346  2930  0.925743  0.0083 0.000475 0.000627 0.001768  0.005699 -0.005529 -0.118874
P361 07AUG01 2007.5811 54313 1438 4 -111.4  -3153 -0.077131   4936086  0.966482  2930  0.922352  0.0083 0.000476 0.000627 0.001773  0.006782 -0.002077 -0.115806
P361 07AUG02 2007.5838 54314 1438 5 -111.4  -3153 -0.077295   4936086  0.964077  2930  0.924217  0.0083 0.000470 0.000622 0.001746  0.020892 -0.002219 -0.107862
P361 07AUG03 2007.5866 54315 1438 6 -111.4  -3153 -0.074994   4936086  0.965993  2930  0.923810  0.0083 0.000474 0.000628 0.001770  0.009724  0.006250 -0.108748
P361 07AUG04 2007.5893 54316 1438 7 -111.4  -3153 -0.075772   4936086  0.965021  2930  0.920037  0.0083 0.000473 0.000618 0.001751  0.023237 -0.020450 -0.107952
P361 07AUG05 2007.5921 54317 1439 1 -111.4  -3153 -0.076326   4936086  0.967947  2930  0.923146  0.0083 0.000475 0.000618 0.001752  0.024656 -0.031192 -0.129575
P361 07AUG06 2007.5948 54318 1439 2 -111.4  -3153 -0.073695   4936086  0.962371  2930  0.919599  0.0083 0.000490 0.000634 0.001793 -0.000592 -0.016634 -0.151314
P361 07AUG07 2007.5975 54319 1439 3 -111.4  -3153 -0.076525   4936086  0.965458  2930  0.920097  0.0083 0.000490 0.000633 0.001797  0.017330 -0.015534 -0.146600
P361 07AUG08 2007.6003 54320 1439 4 -111.4  -3153 -0.076594   4936086  0.965225  2930  0.916512  0.0083 0.000473 0.000624 0.001759  0.007976  0.002393 -0.119113
P361 07AUG09 2007.6030 54321 1439 5 -111.4  -3153 -0.075870   4936086  0.964960  2930  0.925655  0.0083 0.000477 0.000627 0.001778  0.011821 -0.014048 -0.122856
P361 07AUG10 2007.6057 54322 1439 6 -111.4  -3153 -0.076593   4936086  0.966365  2930  0.921334  0.0083 0.000476 0.000622 0.001769  0.021280 -0.033871 -0.122145
P361 07AUG11 2007.6085 54323 1439 7 -111.4  -3153 -0.074429   4936086  0.964468  2930  0.916706  0.0083 0.000474 0.000620 0.001757  0.012829 -0.019083 -0.123109
P361 07AUG12 2007.6112 54324 1440 1 -111.4  -3153 -0.075557   4936086  0.968358  2930  0.917257  0.0083 0.000471 0.000616 0.001743  0.015498 -0.017948 -0.127061
P361 07AUG13 2007.6140 54325 1440 2 -111.4  -3153 -0.077551   4936086  0.968845  2930  0.915816  0.0083 0.000473 0.000626 0.001765  0.022087 -0.008864 -0.111797
P361 07AUG14 2007.6167 54326 1440 3 -111.4  -3153 -0.076079   4936086  0.964480  2930  0.922411  0.0083 0.000508 0.000682 0.001926 -0.013800  0.003512 -0.127192
P361 07AUG15 2007.6194 54327 1440 4 -111.4  -3153 -0.077838   4936086  0.966197  2930  0.925515  0.0083 0.000508 0.000671 0.001913 -0.007099 -0.016238 -0.140827
P361 07AUG16 2007.6222 54328 1440 5 -111.4  -3153 -0.075001   4936086  0.966715  2930  0.921823  0.0083 0.000495 0.000656 0.001851 -0.010192 -0.003588 -0.132968
