site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P352 08SEP17 2008.7118 54726 1497 4 -114.1    315  0.455453   4857051  0.204056  2474  0.677997  0.0084 0.000541 0.000737 0.002167  0.082740  0.032762 -0.016780
P352 08SEP18 2008.7146 54727 1497 5 -114.1    315  0.454187   4857051  0.203784  2474  0.680329  0.0084 0.000523 0.000700 0.002073  0.107011  0.031577 -0.047007
P352 08SEP19 2008.7173 54728 1497 6 -114.1    315  0.454889   4857051  0.201596  2474  0.682709  0.0084 0.000524 0.000701 0.002061  0.102260  0.024503 -0.052978
P352 08SEP20 2008.7201 54729 1497 7 -114.1    315  0.454864   4857051  0.201832  2474  0.667782  0.0084 0.000526 0.000696 0.002064  0.094430  0.013740 -0.054720
P352 08SEP21 2008.7228 54730 1498 1 -114.1    315  0.454814   4857051  0.201284  2474  0.678476  0.0084 0.000527 0.000700 0.002070  0.102633  0.017012 -0.045543
P352 08SEP22 2008.7255 54731 1498 2 -114.1    315  0.453022   4857051  0.203695  2474  0.676648  0.0084 0.000521 0.000703 0.002074  0.109069  0.028856 -0.030840
P352 08SEP23 2008.7283 54732 1498 3 -114.1    315  0.454883   4857051  0.201679  2474  0.677857  0.0084 0.000527 0.000709 0.002087  0.111487  0.028124 -0.039529
P352 08SEP24 2008.7310 54733 1498 4 -114.1    315  0.455608   4857051  0.202575  2474  0.677536  0.0084 0.000530 0.000706 0.002081  0.111102  0.012795 -0.049885
P352 08SEP25 2008.7337 54734 1498 5 -114.1    315  0.453543   4857051  0.199797  2474  0.676853  0.0084 0.000527 0.000700 0.002070  0.107578  0.007699 -0.063495
P352 08SEP26 2008.7365 54735 1498 6 -114.1    315  0.454091   4857051  0.201838  2474  0.673971  0.0084 0.000524 0.000693 0.002058  0.099095  0.016524 -0.057604
P352 08SEP27 2008.7392 54736 1498 7 -114.1    315  0.453873   4857051  0.201147  2474  0.677012  0.0084 0.000525 0.000700 0.002068  0.111107  0.005108 -0.060205
P352 08SEP28 2008.7420 54737 1499 1 -114.1    315  0.452690   4857051  0.203623  2474  0.683476  0.0084 0.000522 0.000704 0.002066  0.107715  0.023047 -0.046862
P352 08SEP29 2008.7447 54738 1499 2 -114.1    315  0.453436   4857051  0.204315  2474  0.679678  0.0084 0.000524 0.000709 0.002063  0.124123  0.011412 -0.027237
P352 08SEP30 2008.7474 54739 1499 3 -114.1    315  0.454075   4857051  0.204415  2474  0.678868  0.0084 0.000526 0.000705 0.002052  0.115024 -0.003235 -0.046107
P352 08OCT01 2008.7502 54740 1499 4 -114.1    315  0.452988   4857051  0.203996  2474  0.679942  0.0084 0.000528 0.000704 0.002060  0.117783  0.009244 -0.047244
P352 08OCT02 2008.7529 54741 1499 5 -114.1    315  0.455570   4857051  0.202976  2474  0.677453  0.0084 0.000523 0.000695 0.002053  0.108293 -0.004169 -0.059755
P352 08OCT03 2008.7556 54742 1499 6 -114.1    315  0.453632   4857051  0.203225  2474  0.673196  0.0084 0.000526 0.000701 0.002067  0.105707  0.008322 -0.061826
P352 08OCT04 2008.7584 54743 1499 7 -114.1    315  0.454797   4857051  0.203188  2474  0.670279  0.0084 0.000522 0.000705 0.002066  0.116809  0.012042 -0.037168
P352 08OCT05 2008.7611 54744 1500 1 -114.1    315  0.454044   4857051  0.203170  2474  0.673103  0.0084 0.000528 0.000707 0.002072  0.113754  0.008921 -0.036458
P352 08OCT06 2008.7639 54745 1500 2 -114.1    315  0.453827   4857051  0.204126  2474  0.686777  0.0084 0.000529 0.000707 0.002075  0.118400  0.001223 -0.064153
P352 08OCT07 2008.7666 54746 1500 3 -114.1    315  0.452931   4857051  0.202884  2474  0.683896  0.0084 0.000525 0.000701 0.002089  0.097634  0.022047 -0.063088
P352 08OCT08 2008.7693 54747 1500 4 -114.1    315  0.451802   4857051  0.203129  2474  0.675253  0.0084 0.000546 0.000705 0.002121  0.100958  0.036374 -0.081138
P352 08OCT09 2008.7721 54748 1500 5 -114.1    315  0.451552   4857051  0.203964  2474  0.673737  0.0084 0.000523 0.000689 0.002074  0.109242  0.025480 -0.039016
P352 08OCT10 2008.7748 54749 1500 6 -114.1    315  0.454096   4857051  0.204656  2474  0.664261  0.0084 0.000515 0.000679 0.002033  0.095852  0.010692 -0.051263
P352 08OCT11 2008.7775 54750 1500 7 -114.1    315  0.455224   4857051  0.205622  2474  0.672442  0.0084 0.000517 0.000683 0.002038  0.090369  0.017041 -0.055268
P352 08OCT12 2008.7803 54751 1501 1 -114.1    315  0.454579   4857051  0.203277  2474  0.665978  0.0084 0.000519 0.000677 0.002031  0.076720  0.030245 -0.091199
P352 08OCT13 2008.7830 54752 1501 2 -114.1    315  0.452045   4857051  0.201259  2474  0.666650  0.0084 0.000518 0.000689 0.002078  0.098456  0.028036 -0.057286
P352 08OCT14 2008.7858 54753 1501 3 -114.1    315  0.451921   4857051  0.201723  2474  0.671916  0.0084 0.000517 0.000685 0.002053  0.088576  0.035789 -0.066909
P352 08OCT15 2008.7885 54754 1501 4 -114.1    315  0.452291   4857051  0.203514  2474  0.664285  0.0084 0.000522 0.000709 0.002103  0.072057  0.026207 -0.062858
P352 08OCT16 2008.7912 54755 1501 5 -114.1    315  0.454800   4857051  0.203739  2474  0.672751  0.0084 0.000527 0.000725 0.002138  0.070547  0.034516 -0.040116
P352 08OCT17 2008.7940 54756 1501 6 -114.1    315  0.455521   4857051  0.202304  2474  0.672762  0.0084 0.000519 0.000692 0.002062  0.086456  0.035929 -0.073017
P352 08OCT18 2008.7967 54757 1501 7 -114.1    315  0.450140   4857051  0.200117  2474  0.673990  0.0084 0.000516 0.000683 0.002036  0.089174  0.032660 -0.079169
P352 08OCT19 2008.7995 54758 1502 1 -114.1    315  0.453430   4857051  0.202832  2474  0.670334  0.0084 0.000515 0.000684 0.002032  0.092695  0.050633 -0.060568
P352 08OCT20 2008.8022 54759 1502 2 -114.1    315  0.453157   4857051  0.201537  2474  0.668655  0.0084 0.000519 0.000681 0.002054  0.092685  0.043683 -0.075705
P352 08OCT21 2008.8049 54760 1502 3 -114.1    315  0.452511   4857051  0.199810  2474  0.673869  0.0084 0.000518 0.000685 0.002039  0.100983  0.015659 -0.053903
P352 08OCT22 2008.8077 54761 1502 4 -114.1    315  0.452566   4857051  0.202230  2474  0.668152  0.0084 0.000520 0.000695 0.002076  0.086377  0.013489 -0.040459
P352 08OCT23 2008.8104 54762 1502 5 -114.1    315  0.453326   4857051  0.203889  2474  0.672947  0.0084 0.000519 0.000691 0.002046  0.099474  0.013375 -0.070899
P352 08OCT24 2008.8131 54763 1502 6 -114.1    315  0.454556   4857051  0.203550  2474  0.680067  0.0084 0.000519 0.000687 0.002060  0.087170  0.037110 -0.052037
P352 08OCT25 2008.8159 54764 1502 7 -114.1    315  0.452910   4857051  0.202732  2474  0.682660  0.0084 0.000517 0.000681 0.002026  0.093782  0.035022 -0.053889
P352 08OCT26 2008.8186 54765 1503 1 -114.1    315  0.452362   4857051  0.203895  2474  0.675045  0.0084 0.000518 0.000683 0.002040  0.092241  0.021376 -0.057508
P352 08OCT27 2008.8214 54766 1503 2 -114.1    315  0.452963   4857051  0.205019  2474  0.671607  0.0084 0.000517 0.000683 0.002039  0.094046  0.017742 -0.062399
P352 08OCT28 2008.8241 54767 1503 3 -114.1    315  0.453867   4857051  0.202924  2474  0.673560  0.0084 0.000529 0.000709 0.002089  0.114294  0.009733 -0.075812
