site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P045 06APR24 2006.3107 53849 1372 2 -112.6  -1346 -0.381998   5027495  0.276131  1618  0.192532  0.0083 0.000476 0.000648 0.001844  0.013182 -0.073391 -0.098522
P045 06APR25 2006.3135 53850 1372 3 -112.6  -1346 -0.381118   5027495  0.275450  1618  0.192389  0.0083 0.000492 0.000661 0.001884  0.009822 -0.081569 -0.110312
P045 06APR26 2006.3162 53851 1372 4 -112.6  -1346 -0.380448   5027495  0.275646  1618  0.198111  0.0083 0.000471 0.000641 0.001812  0.014290 -0.067345 -0.100290
P045 06APR27 2006.3190 53852 1372 5 -112.6  -1346 -0.380595   5027495  0.276989  1618  0.206945  0.0083 0.000482 0.000663 0.001872  0.015782 -0.056960 -0.123192
P045 06APR28 2006.3217 53853 1372 6 -112.6  -1346 -0.379805   5027495  0.275988  1618  0.192788  0.0083 0.000482 0.000659 0.001882  0.028624 -0.074042 -0.116554
P045 06APR29 2006.3244 53854 1372 7 -112.6  -1346 -0.381683   5027495  0.276525  1618  0.196490  0.0083 0.000475 0.000652 0.001852  0.009688 -0.046704 -0.117395
P045 06APR30 2006.3272 53855 1373 1 -112.6  -1346 -0.379548   5027495  0.276740  1618  0.198479  0.0083 0.000477 0.000655 0.001855  0.020604 -0.062704 -0.100352
P045 06MAY01 2006.3299 53856 1373 2 -112.6  -1346 -0.379924   5027495  0.277493  1618  0.197544  0.0083 0.000472 0.000644 0.001814  0.014190 -0.071185 -0.097283
P045 06MAY02 2006.3326 53857 1373 3 -112.6  -1346 -0.379224   5027495  0.274256  1618  0.192044  0.0083 0.000475 0.000648 0.001843  0.012303 -0.057102 -0.099104
P045 06MAY03 2006.3354 53858 1373 4 -112.6  -1346 -0.381959   5027495  0.277574  1618  0.188234  0.0083 0.000481 0.000651 0.001887  0.018134 -0.066515 -0.133725
P045 06MAY04 2006.3381 53859 1373 5 -112.6  -1346 -0.380417   5027495  0.276555  1618  0.191540  0.0083 0.000473 0.000642 0.001836  0.018019 -0.057931 -0.111984
P045 06MAY05 2006.3409 53860 1373 6 -112.6  -1346 -0.382469   5027495  0.276966  1618  0.192879  0.0083 0.000478 0.000658 0.001881  0.017712 -0.053420 -0.127837
P045 06MAY06 2006.3436 53861 1373 7 -112.6  -1346 -0.380069   5027495  0.274148  1618  0.199376  0.0083 0.000478 0.000651 0.001864  0.032062 -0.076142 -0.103984
P045 06MAY07 2006.3463 53862 1374 1 -112.6  -1346 -0.377330   5027495  0.275083  1618  0.206718  0.0083 0.000478 0.000652 0.001862  0.008322 -0.051059 -0.112487
P045 06MAY08 2006.3491 53863 1374 2 -112.6  -1346 -0.380143   5027495  0.276548  1618  0.200049  0.0083 0.000480 0.000651 0.001861  0.007347 -0.058358 -0.112204
P045 06MAY09 2006.3518 53864 1374 3 -112.6  -1346 -0.383160   5027495  0.276342  1618  0.192106  0.0083 0.000490 0.000669 0.001925  0.023968 -0.082085 -0.126803
P045 06MAY10 2006.3546 53865 1374 4 -112.6  -1346 -0.381848   5027495  0.276353  1618  0.188060  0.0083 0.000477 0.000654 0.001848  0.009301 -0.054971 -0.109341
P045 06MAY11 2006.3573 53866 1374 5 -112.6  -1346 -0.382770   5027495  0.277837  1618  0.196135  0.0083 0.000478 0.000658 0.001863  0.000846 -0.051513 -0.102355
P045 06MAY12 2006.3600 53867 1374 6 -112.6  -1346 -0.380679   5027495  0.276555  1618  0.200636  0.0083 0.000472 0.000646 0.001825  0.004181 -0.045223 -0.086469
P045 06MAY13 2006.3628 53868 1374 7 -112.6  -1346 -0.380184   5027495  0.274970  1618  0.199372  0.0083 0.000477 0.000648 0.001843  0.002708 -0.048372 -0.102233
P045 06MAY14 2006.3655 53869 1375 1 -112.6  -1346 -0.380781   5027495  0.277513  1618  0.191594  0.0083 0.000477 0.000646 0.001838  0.013000 -0.056562 -0.088145
P045 06MAY15 2006.3682 53870 1375 2 -112.6  -1346 -0.380770   5027495  0.278313  1618  0.194880  0.0083 0.000475 0.000643 0.001828  0.014015 -0.045438 -0.113234
P045 06MAY16 2006.3710 53871 1375 3 -112.6  -1346 -0.383390   5027495  0.278118  1618  0.201268  0.0083 0.000485 0.000659 0.001905 -0.019979 -0.022975 -0.086136
P045 06MAY17 2006.3737 53872 1375 4 -112.6  -1346 -0.381598   5027495  0.276434  1618  0.201867  0.0083 0.000478 0.000658 0.001889 -0.008974 -0.024654 -0.068420
P045 06MAY18 2006.3765 53873 1375 5 -112.6  -1346 -0.382680   5027495  0.275777  1618  0.201206  0.0083 0.000476 0.000674 0.001886 -0.000024 -0.052213 -0.096545
P045 06MAY19 2006.3792 53874 1375 6 -112.6  -1346 -0.379663   5027495  0.277135  1618  0.203598  0.0083 0.000484 0.000668 0.001907  0.023989 -0.064084 -0.098181
P045 06MAY20 2006.3819 53875 1375 7 -112.6  -1346 -0.382440   5027495  0.275075  1618  0.204732  0.0083 0.000480 0.000668 0.001888  0.001273 -0.042126 -0.107284
P045 06MAY21 2006.3847 53876 1376 1 -112.6  -1346 -0.382541   5027495  0.272834  1618  0.207042  0.0083 0.000487 0.000681 0.001935  0.028528 -0.071900 -0.098569
P045 06MAY22 2006.3874 53877 1376 2 -112.6  -1346 -0.381709   5027495  0.273597  1618  0.200484  0.0083 0.000481 0.000666 0.001897  0.015427 -0.063259 -0.102335
P045 06MAY23 2006.3901 53878 1376 3 -112.6  -1346 -0.382812   5027495  0.275179  1618  0.198289  0.0083 0.000477 0.000669 0.001903  0.016396 -0.059694 -0.107866
P045 06MAY24 2006.3929 53879 1376 4 -112.6  -1346 -0.381220   5027495  0.276683  1618  0.194023  0.0083 0.000476 0.000670 0.001884  0.011693 -0.055883 -0.115261
P045 06MAY25 2006.3956 53880 1376 5 -112.6  -1346 -0.382357   5027495  0.276495  1618  0.198767  0.0083 0.000491 0.000689 0.001976 -0.022626 -0.049418 -0.112185
P045 06MAY26 2006.3984 53881 1376 6 -112.6  -1346 -0.382526   5027495  0.274740  1618  0.197826  0.0083 0.000490 0.000696 0.001991 -0.025791 -0.054817 -0.098113
P045 06MAY27 2006.4011 53882 1376 7 -112.6  -1346 -0.383525   5027495  0.277494  1618  0.184637  0.0083 0.000476 0.000670 0.001889  0.016198 -0.042077 -0.089416
P045 06MAY28 2006.4038 53883 1377 1 -112.6  -1346 -0.383392   5027495  0.275175  1618  0.184118  0.0083 0.000478 0.000658 0.001874 -0.001162 -0.034260 -0.085964
P045 06MAY29 2006.4066 53884 1377 2 -112.6  -1346 -0.382816   5027495  0.274293  1618  0.190301  0.0083 0.000482 0.000668 0.001899  0.011343 -0.059060 -0.097528
P045 06MAY30 2006.4093 53885 1377 3 -112.6  -1346 -0.383277   5027495  0.277079  1618  0.185660  0.0083 0.000484 0.000675 0.001918  0.004203 -0.065059 -0.120940
P045 06MAY31 2006.4120 53886 1377 4 -112.6  -1346 -0.383015   5027495  0.276003  1618  0.186125  0.0083 0.000479 0.000674 0.001909  0.005743 -0.056478 -0.114830
P045 06JUN01 2006.4148 53887 1377 5 -112.6  -1346 -0.382891   5027495  0.275474  1618  0.193992  0.0083 0.000483 0.000674 0.001914  0.020079 -0.049574 -0.088321
P045 06JUN02 2006.4175 53888 1377 6 -112.6  -1346 -0.381802   5027495  0.274941  1618  0.191965  0.0083 0.000493 0.000687 0.001960  0.001413 -0.032795 -0.139381
P045 06JUN03 2006.4203 53889 1377 7 -112.6  -1346 -0.383545   5027495  0.274137  1618  0.195842  0.0083 0.000498 0.000691 0.001975  0.016789 -0.072249 -0.128354
P045 06JUN04 2006.4230 53890 1378 1 -112.6  -1346 -0.385725   5027495  0.274636  1618  0.199085  0.0083 0.000494 0.000686 0.001938  0.001866 -0.049597 -0.104607
P045 06JUN05 2006.4257 53891 1378 2 -112.6  -1346 -0.384112   5027495  0.277557  1618  0.203606  0.0083 0.000500 0.000689 0.001986  0.004410 -0.090301 -0.114271
P045 06JUN06 2006.4285 53892 1378 3 -112.6  -1346 -0.385082   5027495  0.275963  1618  0.190919  0.0083 0.000493 0.000690 0.001946  0.008390 -0.036657 -0.109210
P045 06JUN07 2006.4312 53893 1378 4 -112.6  -1346 -0.382020   5027495  0.274975  1618  0.196683  0.0083 0.000488 0.000673 0.001927  0.015465 -0.039367 -0.110574
P045 06JUN08 2006.4339 53894 1378 5 -112.6  -1346 -0.382088   5027495  0.277664  1618  0.199080  0.0083 0.000480 0.000668 0.001880  0.046796 -0.069093 -0.097026
P045 06JUN09 2006.4367 53895 1378 6 -112.6  -1346 -0.383494   5027495  0.275887  1618  0.195232  0.0083 0.000482 0.000667 0.001896  0.024057 -0.047923 -0.087211
P045 06JUN10 2006.4394 53896 1378 7 -112.6  -1346 -0.384477   5027495  0.275216  1618  0.192599  0.0083 0.000490 0.000677 0.001900  0.007470 -0.059885 -0.072250
