site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P351 08OCT15 2008.7885 54754 1501 4 -114.7  -1539 -0.847974   4859868  0.453682  2692  0.597208  0.0083 0.000462 0.000654 0.001818  0.039142 -0.053739 -0.151221
P351 08OCT16 2008.7912 54755 1501 5 -114.7  -1539 -0.844962   4859868  0.454101  2692  0.599589  0.0083 0.000466 0.000649 0.001826  0.038293 -0.046637 -0.156567
P351 08OCT17 2008.7940 54756 1501 6 -114.7  -1539 -0.845788   4859868  0.452827  2692  0.599469  0.0083 0.000459 0.000637 0.001800  0.066950 -0.084429 -0.160013
P351 08OCT18 2008.7967 54757 1501 7 -114.7  -1539 -0.847656   4859868  0.451853  2692  0.601718  0.0083 0.000458 0.000631 0.001790  0.053682 -0.067929 -0.157844
P351 08OCT19 2008.7995 54758 1502 1 -114.7  -1539 -0.848368   4859868  0.453504  2692  0.602209  0.0083 0.000458 0.000632 0.001785  0.047376 -0.057542 -0.152913
P351 08OCT20 2008.8022 54759 1502 2 -114.7  -1539 -0.847198   4859868  0.451793  2692  0.605687  0.0083 0.000460 0.000635 0.001785  0.051544 -0.065339 -0.142407
P351 08OCT21 2008.8049 54760 1502 3 -114.7  -1539 -0.849217   4859868  0.453496  2692  0.603199  0.0083 0.000460 0.000632 0.001791  0.040676 -0.065395 -0.148035
P351 08OCT22 2008.8077 54761 1502 4 -114.7  -1539 -0.848050   4859868  0.454459  2692  0.598516  0.0083 0.000460 0.000630 0.001794  0.048337 -0.091836 -0.140779
P351 08OCT23 2008.8104 54762 1502 5 -114.7  -1539 -0.847053   4859868  0.453281  2692  0.603070  0.0083 0.000462 0.000630 0.001795  0.044071 -0.078077 -0.146879
P351 08OCT24 2008.8131 54763 1502 6 -114.7  -1539 -0.846895   4859868  0.453608  2692  0.607833  0.0083 0.000458 0.000630 0.001788  0.051327 -0.060693 -0.157657
P351 08OCT25 2008.8159 54764 1502 7 -114.7  -1539 -0.848238   4859868  0.453335  2692  0.609259  0.0083 0.000460 0.000633 0.001787  0.046417 -0.059761 -0.136347
P351 08OCT26 2008.8186 54765 1503 1 -114.7  -1539 -0.848949   4859868  0.454010  2692  0.602508  0.0083 0.000465 0.000638 0.001812  0.041491 -0.082600 -0.128212
P351 08OCT27 2008.8214 54766 1503 2 -114.7  -1539 -0.848675   4859868  0.455636  2692  0.603147  0.0083 0.000462 0.000636 0.001794  0.067504 -0.085578 -0.155428
P351 08OCT28 2008.8241 54767 1503 3 -114.7  -1539 -0.848232   4859868  0.453947  2692  0.604280  0.0083 0.000469 0.000659 0.001824  0.089619 -0.092394 -0.152516
P351 08OCT29 2008.8268 54768 1503 4 -114.7  -1539 -0.849595   4859868  0.452310  2692  0.602476  0.0083 0.000471 0.000655 0.001830  0.077071 -0.085829 -0.153558
P351 08OCT30 2008.8296 54769 1503 5 -114.7  -1539 -0.849258   4859868  0.453086  2692  0.607165  0.0083 0.000461 0.000632 0.001783  0.050963 -0.062096 -0.140175
P351 08OCT31 2008.8323 54770 1503 6 -114.7  -1539 -0.848468   4859868  0.452927  2692  0.602183  0.0083 0.000467 0.000640 0.001817  0.056726 -0.068834 -0.123059
P351 08NOV01 2008.8350 54771 1503 7 -114.7  -1539 -0.850050   4859868  0.453008  2692  0.598226  0.0083 0.000465 0.000636 0.001805  0.060011 -0.067770 -0.131124
P351 08NOV02 2008.8378 54772 1504 1 -114.7  -1539 -0.849869   4859868  0.451860  2692  0.604431  0.0083 0.000460 0.000630 0.001780  0.055334 -0.067793 -0.137253
P351 08NOV03 2008.8405 54773 1504 2 -114.7  -1539 -0.847672   4859868  0.452116  2692  0.606489  0.0083 0.000455 0.000624 0.001753  0.044283 -0.048466 -0.133116
P351 08NOV04 2008.8433 54774 1504 3 -114.7  -1539 -0.848719   4859868  0.452812  2692  0.601502  0.0083 0.000462 0.000634 0.001779  0.041018 -0.057589 -0.130888
P351 08NOV05 2008.8460 54775 1504 4 -114.7  -1539 -0.848607   4859868  0.455312  2692  0.599088  0.0083 0.000464 0.000629 0.001781  0.031964 -0.057255 -0.115892
P351 08NOV06 2008.8487 54776 1504 5 -114.7  -1539 -0.846727   4859868  0.453652  2692  0.600590  0.0083 0.000460 0.000625 0.001758  0.042133 -0.046294 -0.131729
P351 08NOV07 2008.8515 54777 1504 6 -114.7  -1539 -0.846904   4859868  0.451909  2692  0.601893  0.0083 0.000463 0.000632 0.001782  0.057469 -0.061847 -0.139654
P351 08NOV08 2008.8542 54778 1504 7 -114.7  -1539 -0.848102   4859868  0.450605  2692  0.604168  0.0083 0.000465 0.000637 0.001799  0.056178 -0.076071 -0.123097
P351 08NOV09 2008.8569 54779 1505 1 -114.7  -1539 -0.851000   4859868  0.451903  2692  0.598073  0.0083 0.000466 0.000633 0.001799  0.053364 -0.093934 -0.127338
P351 08NOV10 2008.8597 54780 1505 2 -114.7  -1539 -0.849907   4859868  0.455651  2692  0.602273  0.0083 0.000470 0.000636 0.001818  0.048325 -0.073461 -0.139977
P351 08NOV11 2008.8624 54781 1505 3 -114.7  -1539 -0.847599   4859868  0.451812  2692  0.606309  0.0083 0.000465 0.000632 0.001787  0.039713 -0.051443 -0.134674
P351 08NOV12 2008.8652 54782 1505 4 -114.7  -1539 -0.845090   4859868  0.452939  2692  0.610241  0.0083 0.000465 0.000637 0.001803  0.048046 -0.067054 -0.124863
P351 08NOV13 2008.8679 54783 1505 5 -114.7  -1539 -0.850532   4859868  0.451639  2692  0.612124  0.0083 0.000472 0.000638 0.001825  0.056964 -0.068804 -0.108809
P351 08NOV14 2008.8706 54784 1505 6 -114.7  -1539 -0.849516   4859868  0.453792  2692  0.607525  0.0083 0.000477 0.000645 0.001853  0.033490 -0.091023 -0.094232
