site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P675 06JUN15 2006.4531 53901 1379 5 -112.7  -1553 -0.818060   4675209  0.480977  1559  0.106905  0.0083 0.000472 0.000627 0.001787  0.016659 -0.008959 -0.111015
P675 06JUN16 2006.4559 53902 1379 6 -112.7  -1553 -0.818630   4675209  0.483934  1559  0.109589  0.0083 0.000473 0.000632 0.001796  0.014278 -0.034784 -0.101886
P675 06JUN17 2006.4586 53903 1379 7 -112.7  -1553 -0.820436   4675209  0.482707  1559  0.108017  0.0083 0.000472 0.000632 0.001800  0.023522 -0.033752 -0.119708
P675 06JUN18 2006.4613 53904 1380 1 -112.7  -1553 -0.817315   4675209  0.481131  1559  0.121550  0.0083 0.000485 0.000644 0.001834  0.028437 -0.021375 -0.122104
P675 06JUN19 2006.4641 53905 1380 2 -112.7  -1553 -0.819128   4675209  0.479815  1559  0.118638  0.0083 0.000485 0.000640 0.001832  0.023369 -0.013216 -0.117456
P675 06JUN20 2006.4668 53906 1380 3 -112.7  -1553 -0.817862   4675209  0.480746  1559  0.118269  0.0083 0.000487 0.000635 0.001836  0.017096 -0.015795 -0.126529
P675 06JUN21 2006.4695 53907 1380 4 -112.7  -1553 -0.818143   4675209  0.478499  1559  0.117791  0.0083 0.000487 0.000642 0.001836  0.019905 -0.017145 -0.119472
P675 06JUN22 2006.4723 53908 1380 5 -112.7  -1553 -0.818992   4675209  0.484336  1559  0.112573  0.0083 0.000487 0.000638 0.001839  0.019189 -0.028700 -0.123774
P675 06JUN23 2006.4750 53909 1380 6 -112.7  -1553 -0.819785   4675209  0.484270  1559  0.118894  0.0083 0.000486 0.000640 0.001831  0.029229 -0.024930 -0.128223
P675 06JUN24 2006.4778 53910 1380 7 -112.7  -1553 -0.817117   4675209  0.481791  1559  0.114193  0.0083 0.000492 0.000642 0.001858  0.023396 -0.028128 -0.131870
P675 06JUN25 2006.4805 53911 1381 1 -112.7  -1553 -0.818848   4675209  0.479949  1559  0.106358  0.0083 0.000488 0.000636 0.001846  0.013539 -0.005202 -0.122126
P675 06JUN26 2006.4832 53912 1381 2 -112.7  -1553 -0.819074   4675209  0.479275  1559  0.112138  0.0083 0.000488 0.000644 0.001843  0.022673 -0.015309 -0.133245
P675 06JUN27 2006.4860 53913 1381 3 -112.7  -1553 -0.821737   4675209  0.481237  1559  0.120937  0.0083 0.000489 0.000646 0.001852  0.014906 -0.029614 -0.134642
P675 06JUN28 2006.4887 53914 1381 4 -112.7  -1553 -0.818062   4675209  0.481619  1559  0.113835  0.0083 0.000487 0.000646 0.001851  0.018484 -0.020597 -0.138404
P675 06JUN29 2006.4914 53915 1381 5 -112.7  -1553 -0.821110   4675209  0.483353  1559  0.110893  0.0083 0.000479 0.000631 0.001822  0.014855 -0.023278 -0.133800
P675 06JUN30 2006.4942 53916 1381 6 -112.7  -1553 -0.819833   4675209  0.483373  1559  0.115728  0.0083 0.000472 0.000627 0.001806 -0.026887 -0.003113 -0.081997
